,1. open,2. high,3. low,4. close,5. volume 
2022-02-11 14:04:00,168.54,168.92,168.5,168.7,366445.0
2022-02-11 14:05:00,168.7,169.18,168.57,169.12,384642.0
2022-02-11 14:06:00,169.131,169.18,168.8,168.84,268429.0
2022-02-11 14:07:00,168.86,169.04,168.74,168.76,254522.0
2022-02-11 14:08:00,168.76,169.35,168.7,169.27,391384.0
2022-02-11 14:09:00,169.31,169.56,169.1,169.27,326248.0
2022-02-11 14:10:00,169.24,169.26,168.8594,169.03,246950.0
2022-02-11 14:11:00,169.06,169.23,168.84,169.05,253725.0
2022-02-11 14:12:00,169.0646,169.19,168.81,168.86,183160.0
2022-02-11 14:13:00,168.88,169.09,168.69,168.93,242998.0
2022-02-11 14:14:00,168.93,169.15,168.93,169.08,177284.0
2022-02-11 14:15:00,169.09,169.3,168.91,169.24,290633.0
2022-02-11 14:16:00,169.24,169.73,169.0723,169.72,520919.0
2022-02-11 14:17:00,169.71,169.71,169.22,169.3831,308228.0
2022-02-11 14:18:00,169.3501,169.67,169.29,169.6099,199445.0
2022-02-11 14:19:00,169.6,169.9,169.5303,169.835,215422.0
2022-02-11 14:20:00,169.83,169.84,169.49,169.585,289625.0
2022-02-11 14:21:00,169.5883,169.88,169.5,169.63,273717.0
2022-02-11 14:22:00,169.61,169.94,169.57,169.93,218738.0
2022-02-11 14:23:00,169.94,170.0,169.72,169.73,245733.0
2022-02-11 14:24:00,169.73,169.76,169.509,169.65,157710.0
2022-02-11 14:25:00,169.65,169.7,169.261,169.29,168369.0
2022-02-11 14:26:00,169.27,169.44,169.09,169.22,183343.0
2022-02-11 14:27:00,169.227,169.227,168.86,168.91,195406.0
2022-02-11 14:28:00,168.9,169.18,168.87,169.15,182073.0
2022-02-11 14:29:00,169.14,169.14,168.85,168.93,221457.0
2022-02-11 14:30:00,168.92,169.02,168.71,168.98,297335.0
2022-02-11 14:31:00,168.98,169.29,168.91,169.14,224896.0
2022-02-11 14:32:00,169.13,169.14,168.94,168.96,141516.0
2022-02-11 14:33:00,168.93,169.13,168.85,169.08,202370.0
2022-02-11 14:34:00,169.05,169.63,169.01,169.509,287625.0
2022-02-11 14:35:00,169.51,169.85,169.48,169.59,225163.0
2022-02-11 14:36:00,169.59,169.6,169.29,169.4,267739.0
2022-02-11 14:37:00,169.42,169.53,169.26,169.3299,143133.0
2022-02-11 14:38:00,169.32,169.52,169.19,169.274,178646.0
2022-02-11 14:39:00,169.27,169.53,169.25,169.32,155562.0
2022-02-11 14:40:00,169.33,169.55,169.23,169.28,158087.0
2022-02-11 14:41:00,169.29,169.4,168.97,169.08,232670.0
2022-02-11 14:42:00,169.07,169.29,169.03,169.0702,138856.0
2022-02-11 14:43:00,169.07,169.08,168.9,169.02,229745.0
2022-02-11 14:44:00,169.0,169.45,168.99,169.2,164492.0
2022-02-11 14:45:00,169.18,169.225,168.98,169.06,187269.0
2022-02-11 14:46:00,169.07,169.23,168.8,168.82,188780.0
2022-02-11 14:47:00,168.83,169.01,168.76,168.76,192268.0
2022-02-11 14:48:00,168.768,169.02,168.68,168.88,257609.0
2022-02-11 14:49:00,168.89,169.04,168.76,168.87,183566.0
2022-02-11 14:50:00,168.8714,168.9,168.66,168.68,183726.0
2022-02-11 14:51:00,168.685,168.78,168.5528,168.73,172305.0
2022-02-11 14:52:00,168.74,168.9014,168.455,168.51,211728.0
2022-02-11 14:53:00,168.5,168.53,168.29,168.38,213465.0
2022-02-11 14:54:00,168.36,168.62,168.36,168.555,216402.0
2022-02-11 14:55:00,168.55,168.68,168.48,168.62,140254.0
2022-02-11 14:56:00,168.6034,168.87,168.59,168.695,217632.0
2022-02-11 14:57:00,168.7,168.81,168.6018,168.78,145180.0
2022-02-11 14:58:00,168.775,168.93,168.75,168.915,172224.0
2022-02-11 14:59:00,168.9,168.98,168.815,168.84,193913.0
2022-02-11 15:00:00,168.83,168.9,168.68,168.82,170352.0
2022-02-11 15:01:00,168.84,169.04,168.75,169.0,238082.0
2022-02-11 15:02:00,169.0,169.12,168.91,169.03,204027.0
2022-02-11 15:03:00,169.0299,169.15,168.85,168.97,262003.0
2022-02-11 15:04:00,168.99,169.41,168.98,169.4,243123.0
2022-02-11 15:05:00,169.4,169.5,169.3,169.4,472806.0
2022-02-11 15:06:00,169.4,169.4,169.13,169.2,257436.0
2022-02-11 15:07:00,169.19,169.21,168.93,169.09,203808.0
2022-02-11 15:08:00,169.08,169.09,168.85,168.98,186940.0
2022-02-11 15:09:00,168.99,169.27,168.98,169.03,225007.0
2022-02-11 15:10:00,169.025,169.04,168.85,168.94,188862.0
2022-02-11 15:11:00,168.94,169.05,168.7,168.75,200265.0
2022-02-11 15:12:00,168.77,168.92,168.67,168.74,216893.0
2022-02-11 15:13:00,168.76,169.11,168.64,168.97,218088.0
2022-02-11 15:14:00,168.94,169.0688,168.89,168.94,194495.0
2022-02-11 15:15:00,168.95,168.99,168.82,168.96,104542.0
2022-02-11 15:16:00,168.95,169.31,168.94,169.1666,238580.0
2022-02-11 15:17:00,169.16,169.32,168.8011,168.99,221074.0
2022-02-11 15:18:00,168.93,169.01,168.75,168.86,246081.0
2022-02-11 15:19:00,168.85,168.89,168.6225,168.73,184532.0
2022-02-11 15:20:00,168.7384,168.98,168.65,168.79,221062.0
2022-02-11 15:21:00,168.76,168.82,168.58,168.61,189710.0
2022-02-11 15:22:00,168.62,168.87,168.59,168.705,258022.0
2022-02-11 15:23:00,168.71,168.77,168.5323,168.545,145357.0
2022-02-11 15:24:00,168.54,168.6737,168.41,168.475,222539.0
2022-02-11 15:25:00,168.48,168.58,168.38,168.56,163673.0
2022-02-11 15:26:00,168.56,168.75,168.44,168.64,190153.0
2022-02-11 15:27:00,168.64,168.86,168.55,168.72,212757.0
2022-02-11 15:28:00,168.73,168.88,168.53,168.59,177194.0
2022-02-11 15:29:00,168.62,168.73,168.48,168.7,235880.0
2022-02-11 15:30:00,168.69,168.895,168.66,168.835,235968.0
2022-02-11 15:31:00,168.835,168.95,168.66,168.74,334324.0
2022-02-11 15:32:00,168.76,168.8,168.62,168.725,228462.0
2022-02-11 15:33:00,168.725,168.725,168.44,168.52,271102.0
2022-02-11 15:34:00,168.53,168.685,168.43,168.625,281736.0
2022-02-11 15:35:00,168.63,169.05,168.62,168.88,381615.0
2022-02-11 15:36:00,168.87,168.919,168.62,168.66,236120.0
2022-02-11 15:37:00,168.67,168.875,168.56,168.74,311927.0
2022-02-11 15:38:00,168.75,168.76,168.575,168.575,175457.0
2022-02-11 15:39:00,168.58,168.99,168.5759,168.83,294257.0
2022-02-11 15:40:00,168.82,168.86,168.53,168.625,243891.0
2022-02-11 15:41:00,168.63,168.83,168.21,168.3,384779.0
2022-02-11 15:42:00,168.3,168.42,168.1,168.11,262139.0
2022-02-11 15:43:00,168.12,168.26,168.04,168.22,363250.0
2022-02-11 15:44:00,168.22,168.61,168.07,168.56,313500.0
2022-02-11 15:45:00,168.55,168.65,168.3962,168.415,306935.0
2022-02-11 15:46:00,168.42,168.71,168.3436,168.67,491970.0
2022-02-11 15:47:00,168.6612,168.81,168.56,168.5866,289077.0
2022-02-11 15:48:00,168.59,169.03,168.57,168.91,313834.0
2022-02-11 15:49:00,168.92,169.21,168.88,168.92,346227.0
2022-02-11 15:50:00,168.93,169.13,168.87,169.07,325682.0
2022-02-11 15:51:00,169.1,169.25,168.7,168.825,460014.0
2022-02-11 15:52:00,168.83,169.15,168.79,169.05,293085.0
2022-02-11 15:53:00,169.04,169.04,168.71,168.921,300021.0
2022-02-11 15:54:00,168.94,169.14,168.89,169.01,481732.0
2022-02-11 15:55:00,169.0,169.16,168.83,169.08,521526.0
2022-02-11 15:56:00,169.07,169.7,169.07,169.6,537328.0
2022-02-11 15:57:00,169.61,169.67,169.14,169.245,418062.0
2022-02-11 15:58:00,169.24,169.26,168.86,168.895,434705.0
2022-02-11 15:59:00,168.895,169.02,168.77,168.79,568960.0
2022-02-11 16:00:00,168.79,168.82,168.39,168.43,1513582.0
2022-02-11 16:01:00,168.64,168.78,168.51,168.64,1744371.0
2022-02-11 16:02:00,168.56,168.64,168.54,168.56,229426.0
2022-02-11 16:03:00,168.63,168.64,168.42,168.64,692767.0
2022-02-11 16:04:00,168.64,168.64,168.46,168.49,1225846.0
2022-02-11 16:05:00,168.45,168.57,168.45,168.54,4518.0
2022-02-11 16:06:00,168.55,168.55,168.37,168.39,17162.0
2022-02-11 16:07:00,168.39,168.64,168.39,168.48,70781.0
2022-02-11 16:08:00,168.41,168.52,168.4,168.52,7974.0
2022-02-11 16:09:00,168.45,168.45,168.4,168.43,8100.0
2022-02-11 16:10:00,168.4,168.64,168.32,168.43,708857.0
2022-02-11 16:11:00,168.37,168.64,168.36,168.53,41697.0
2022-02-11 16:12:00,168.6,168.62,168.46,168.6,4650.0
2022-02-11 16:13:00,168.59,168.59,168.5,168.5,3693.0
2022-02-11 16:14:00,168.5,168.56,168.5,168.55,1506.0
2022-02-11 16:15:00,168.55,168.55,168.37,168.5,7954.0
2022-02-11 16:16:00,168.5,168.5,168.37,168.41,4879.0
2022-02-11 16:17:00,168.49,168.55,168.49,168.5,2620.0
2022-02-11 16:18:00,168.64,168.64,168.5,168.57,14845.0
2022-02-11 16:19:00,168.5001,168.52,168.46,168.5,5456.0
2022-02-11 16:20:00,168.55,168.55,168.48,168.48,4980.0
2022-02-11 16:21:00,168.47,168.48,168.45,168.465,4617.0
2022-02-11 16:22:00,168.48,168.5,168.48,168.5,1931.0
2022-02-11 16:23:00,168.51,168.62,168.45,168.56,7292.0
2022-02-11 16:24:00,168.5,168.68,168.5,168.68,12666.0
2022-02-11 16:25:00,168.68,168.68,168.61,168.66,5202.0
2022-02-11 16:26:00,168.55,168.63,168.55,168.63,415.0
2022-02-11 16:27:00,168.65,168.65,168.65,168.65,954.0
2022-02-11 16:28:00,168.56,168.77,168.56,168.77,7708.0
2022-02-11 16:29:00,168.77,168.85,168.71,168.8001,9145.0
2022-02-11 16:30:00,168.83,168.86,168.83,168.85,3265.0
2022-02-11 16:31:00,168.89,168.95,168.89,168.89,1228.0
2022-02-11 16:32:00,168.94,169.02,168.94,169.0,2708.0
2022-02-11 16:33:00,169.0,169.1,169.0,169.1,5800.0
2022-02-11 16:34:00,169.1,169.3,168.64,169.12,1444314.0
2022-02-11 16:35:00,169.08,169.12,169.0,169.0,1983.0
2022-02-11 16:36:00,168.92,169.0,168.9,168.98,1996.0
2022-02-11 16:37:00,168.9,168.9,168.83,168.83,1209.0
2022-02-11 16:38:00,168.81,168.81,168.8,168.8,1005.0
2022-02-11 16:39:00,168.85,168.85,168.85,168.85,2467.0
2022-02-11 16:40:00,168.75,168.75,168.75,168.75,3558413.0
2022-02-11 16:41:00,168.79,168.79,168.79,168.79,1257.0
2022-02-11 16:42:00,168.74,168.7899,168.74,168.7899,759.0
2022-02-11 16:43:00,168.79,168.8,168.78,168.78,2008.0
2022-02-11 16:44:00,168.79,168.81,168.79,168.81,1512.0
2022-02-11 16:45:00,168.85,168.85,168.83,168.84,1355.0
2022-02-11 16:46:00,168.8,168.8,168.75,168.76,1742.0
2022-02-11 16:47:00,168.76,168.76,168.75,168.76,1451.0
2022-02-11 16:48:00,168.76,168.76,168.75,168.76,2278.0
2022-02-11 16:49:00,168.8,168.8,168.76,168.8,935.0
2022-02-11 16:50:00,168.8,168.8,168.74,168.74,1252.0
2022-02-11 16:51:00,168.73,168.76,168.73,168.76,990.0
2022-02-11 16:52:00,168.73,168.73,168.73,168.73,491.0
2022-02-11 16:54:00,168.7,168.7001,168.65,168.65,2412.0
2022-02-11 16:55:00,168.64,168.7,168.64,168.7,193083.0
2022-02-11 16:56:00,168.68,168.6801,168.68,168.68,745.0
2022-02-11 16:57:00,169.02,169.02,168.68,168.7,34347.0
2022-02-11 16:58:00,168.72,168.72,168.69,168.69,2692.0
2022-02-11 16:59:00,168.65,168.67,168.6,168.6,7269.0
2022-02-11 17:00:00,168.66,168.66,168.6,168.6,2296.0
2022-02-11 17:01:00,168.6,168.62,168.6,168.6,761.0
2022-02-11 17:02:00,168.69,168.69,168.69,168.69,837.0
2022-02-11 17:03:00,168.69,168.69,168.58,168.62,713.0
2022-02-11 17:05:00,168.61,168.61,168.61,168.61,502.0
2022-02-11 17:06:00,168.61,168.61,168.6,168.61,1098.0
2022-02-11 17:09:00,168.66,168.69,168.66,168.69,445.0
2022-02-11 17:10:00,168.7,168.7,168.66,168.66,783.0
2022-02-11 17:11:00,168.7,168.7,168.68,168.68,820.0
2022-02-11 17:13:00,168.7,168.7,168.7,168.7,642.0
2022-02-11 17:14:00,168.67,168.6701,168.67,168.6701,496.0
2022-02-11 17:15:00,168.67,168.7,168.67,168.67,1525.0
2022-02-11 17:17:00,168.68,168.68,168.68,168.68,507.0
2022-02-11 17:18:00,168.65,168.68,168.65,168.68,492.0
2022-02-11 17:19:00,168.68,168.68,168.68,168.68,408.0
2022-02-11 17:20:00,168.63,168.63,168.63,168.63,400.0
